full_name,first_name,middle_names,last_name,date_of_birth,age_at_offense,date_of_death,location,last_known_full_address,crime,flat_or_suite,unit_or_box,house_number,street,city,state,zip_code
Elizabeth Allen,Elizabeth,,Allen,10/04/1996,25,12/11/2058,Rodriguezfurt,"041 Nathan Ports, East Joshua, ID 49330",Burglary,,,041,Nathan Ports,East Joshua,ID,49330
Desiree Heath,Desiree,,Heath,11/01/2003,46,04/06/2003,Michaelfurt,"7568 Martinez Club, North Michelle, ND 76110",Arson,,,7568,Martinez Club,North Michelle,ND,76110
Melanie Allen,Melanie,,Allen,05/01/1989,34,23/01/2010,North Darren,"2209 Espinoza Plaza, West Jeanette, WY 22776",Murder,,,2209,Espinoza Plaza,West Jeanette,WY,22776
Kimberly Andrews,Kimberly,,Andrews,05/01/1986,60,31/12/2000,North Michaelmouth,"220 David Knolls, South Gail, LA 94272",Arson,,,220,David Knolls,South Gail,LA,94272
Crystal Robles,Crystal,,Robles,26/05/1990,50,03/07/1997,Lauraberg,"245 Jesse Squares Apt. 321, North Nathanbury, WI 80755",Pickpocketing,Apartment 321,,245,Jesse Squares,North Nathanbury,WI,80755
Mercedes Williamson,Mercedes,,Williamson,11/03/1984,56,19/04/1986,New Johnfort,"115 Brennan Valley Apt. 045, West Stacy, VA 37355",Forgery,Apartment 045,,115,Brennan Valley,West Stacy,VA,37355
Felicia Mitchell,Felicia,,Mitchell,02/06/1991,26,03/12/2003,Colemanton,"2368 Webster Light, West Laurenstad, AZ 75875",Smuggling,,,2368,Webster Light,West Laurenstad,AZ,75875
Heather Clark,Heather,,Clark,27/02/1995,26,14/10/2000,Johnville,"6854 Gordon Tunnel Apt. 818, Hansonmouth, NC 80649",Pickpocketing,Apartment 818,,6854,Gordon Tunnel,Hansonmouth,NC,80649
Janice Coleman,Janice,,Coleman,12/10/1967,26,21/06/1968,Anthonyfurt,"4415 Rebecca Loaf Suite 029, Lake Paulachester, HI 44330",Murder,Suite 029,,4415,Rebecca Loaf,Lake Paulachester,HI,44330
Christopher Williams,Christopher,,Williams,30/05/1973,26,18/04/2008,West Vincent,"467 Joel Ridges, Sawyerhaven, MD 40205",Arson,,,467,Joel Ridges,Sawyerhaven,MD,40205
Erica Cox,Erica,,Cox,31/12/1996,38,07/04/2025,Port Christine,"1695 Gibson Trafficway Suite 146, Riosmouth, DE 62569",Burglary,Suite 146,,1695,Gibson Trafficway,Riosmouth,DE,62569
Shawn Diaz,Shawn,,Diaz,27/03/1986,38,02/09/1998,New Bryanbury,"0702 Ballard Springs, South Kennethside, PA 27326",Counterfeiting,,,0702,Ballard Springs,South Kennethside,PA,27326
Michelle Nelson,Michelle,,Nelson,20/05/1987,24,28/02/2003,Port Kevinberg,"USNS Mcdonald, FPO AP 32251",Burglary,,,,USNS Mcdonald,FPO AP 32251,,
Michelle Romero,Michelle,,Romero,22/12/1964,27,13/12/1975,South Christine,"9443 Davis Keys, Wilsonville, IA 36493",Forgery,,,9443,Davis Keys,Wilsonville,IA,36493
Heather Conner,Heather,,Conner,14/04/1971,29,28/02/1992,Calvinton,"75733 Elizabeth Ports Suite 145, Jenkinston, MI 55197",Assault,Suite 145,,75733,Elizabeth Ports,Jenkinston,MI,55197
Ashley Yates,Ashley,,Yates,22/12/1984,49,04/02/2002,Port Michaelbury,"2661 Pruitt Forks, Shelbyview, PA 48901",Burglary,,,2661,Pruitt Forks,Shelbyview,PA,48901
Randy Shaffer,Randy,,Shaffer,12/07/1986,45,29/10/2019,Francesville,"03004 Byrd Burg Apt. 713, West William, IN 15823",Highway Robbery,Apartment 713,,03004,Byrd Burg,West William,IN,15823
Samantha Moore,Samantha,,Moore,27/02/1974,39,08/03/1980,Melissamouth,"03367 Kerr Vista, Cathyland, CA 02321",Burglary,,,03367,Kerr Vista,Cathyland,CA,02321
Jeremiah Esparza,Jeremiah,,Esparza,16/10/1985,43,29/04/2053,East Melissaburgh,"310 Acevedo Vista, Littlefort, IL 26862",Burglary,,,310,Acevedo Vista,Littlefort,IL,26862
Katherine Wade,Katherine,,Wade,01/10/1968,57,30/06/1973,South James,"075 Sarah Underpass, West Kristenville, HI 35517",Pickpocketing,,,075,Sarah Underpass,West Kristenville,HI,35517
Mia Mercado,Mia,,Mercado,18/05/1995,18,06/11/2003,South Sherri,"097 Massey Rapid, Port Natalie, NJ 01633",Smuggling,,,097,Massey Rapid,Port Natalie,NJ,01633
Catherine Deleon,Catherine,,Deleon,27/02/1978,28,08/03/2047,Port Christina,"626 Rachel Drive, North Christopher, VA 51876",Smuggling,,,626,Rachel Drive,North Christopher,VA,51876
Michael Hoffman,Michael,,Hoffman,10/12/1973,45,07/02/1986,Griffithview,"5739 Padilla Stream, Robertsfort, OK 46743",Pickpocketing,,,5739,Padilla Stream,Robertsfort,OK,46743
Tina Woods,Tina,,Woods,23/04/1989,19,15/02/2059,Williamsberg,"63968 Rebekah Walks, Hernandezview, MO 20265",Burglary,,,63968,Rebekah Walks,Hernandezview,MO,20265
Tracy Thomas,Tracy,,Thomas,22/12/1975,54,21/08/2002,South Kelly,"20396 Sarah Knoll, New Alexandria, SD 14528",Assault,,,20396,Sarah Knoll,New Alexandria,SD,14528
Evan Williams,Evan,,Williams,16/04/1983,55,08/10/2011,North Christopher,"3158 Hancock Bridge, Onealmouth, UT 62352",Arson,,,3158,Hancock Bridge,Onealmouth,UT,62352
Bryan Nguyen,Bryan,,Nguyen,27/06/1979,40,20/04/1992,New Johnfurt,"718 Meyer Orchard, New Grant, OR 39767",Theft,,,718,Meyer Orchard,New Grant,OR,39767
Elizabeth Roberts,Elizabeth,,Roberts,03/06/2004,21,11/07/2028,West Paigeside,"37293 Smith Shoals, Hernandezhaven, WI 93431",Theft,,,37293,Smith Shoals,Hernandezhaven,WI,93431
Christopher Alvarez,Christopher,,Alvarez,09/04/2004,23,22/07/2039,Port Evanmouth,"7066 Denise Ways, Acostaburgh, CO 22154",Pickpocketing,,,7066,Denise Ways,Acostaburgh,CO,22154
Erica Daniels,Erica,,Daniels,18/11/1977,40,04/09/2030,South Teresa,"50832 Stout Branch Suite 203, Port Loribury, MN 71702",Pickpocketing,Suite 203,,50832,Stout Branch,Port Loribury,MN,71702
Cynthia Brown,Cynthia,,Brown,04/12/1969,21,08/09/2001,West Blakeside,"3742 Daniel Hill Apt. 323, Harveychester, WV 33992",Counterfeiting,Apartment 323,,3742,Daniel Hill,Harveychester,WV,33992
Elijah Berry,Elijah,,Berry,22/08/1984,35,11/11/1988,Schmidtmouth,"USNS Copeland, FPO AA 48440",Murder,,,,USNS Copeland,FPO AA 48440,,
Elizabeth Gomez,Elizabeth,,Gomez,23/11/2001,50,02/02/2051,Lake Richardburgh,"59997 Kelly Harbors, New Deborah, PA 51568",Arson,,,59997,Kelly Harbors,New Deborah,PA,51568
Nicholas Davis,Nicholas,,Davis,12/02/1969,36,06/12/1998,Quinnfurt,"8174 Julie Flat, New Thomas, CO 80478",Highway Robbery,,,8174,Julie Flat,New Thomas,CO,80478
Philip Pierce,Philip,,Pierce,03/10/1975,23,08/02/2013,Lake Joshuatown,"27790 John Inlet Apt. 414, Port Michele, WV 50865",Forgery,Apartment 414,,27790,John Inlet,Port Michele,WV,50865
Robert Roberson,Robert,,Roberson,24/09/1977,20,26/01/2039,New Ryanchester,"2899 Fields Lakes Suite 467, Manuelton, NH 82121",Forgery,Suite 467,,2899,Fields Lakes,Manuelton,NH,82121
Nicole Williams,Nicole,,Williams,14/04/1992,36,08/09/2051,Bradleyville,"976 Renee Creek Apt. 358, Steeleshire, MT 52158",Counterfeiting,Apartment 358,,976,Renee Creek,Steeleshire,MT,52158
Darryl Dillon,Darryl,,Dillon,10/04/1997,46,08/06/2044,North Daniel,"PSC 0334, Box 2947, APO AP 16861",Assault,,,,PSC 0334,Box 2947,,
James Todd,James,,Todd,20/07/2004,60,19/10/2019,Port Deanberg,"7780 Elizabeth Estates, Gonzalesmouth, MN 68288",Assault,,,7780,Elizabeth Estates,Gonzalesmouth,MN,68288
Melissa Garcia,Melissa,,Garcia,20/08/1983,33,23/09/1986,Weissshire,"532 Mckee Alley, Lake Travisfurt, OR 84863",Counterfeiting,,,532,Mckee Alley,Lake Travisfurt,OR,84863
John Glover,John,,Glover,20/03/1972,46,17/06/2021,South Kimberlymouth,"746 Roy Mountains, Chrisbury, NC 83921",Pickpocketing,,,746,Roy Mountains,Chrisbury,NC,83921
Linda Aguilar,Linda,,Aguilar,25/10/1990,38,13/06/2061,Lake Kenneth,"297 Harvey Forges Suite 484, North Kevin, FL 69523",Murder,Suite 484,,297,Harvey Forges,North Kevin,FL,69523
Zachary Bowers,Zachary,,Bowers,03/10/1976,59,16/12/1988,Alexisside,"0897 Mary Shore Suite 178, Port Jimmy, PA 55155",Theft,Suite 178,,0897,Mary Shore,Port Jimmy,PA,55155
Maria Esparza,Maria,,Esparza,14/05/1982,58,29/05/2072,Mclaughlinstad,"81969 Julian Mountains Apt. 306, Daviesport, NH 60353",Forgery,Apartment 306,,81969,Julian Mountains,Daviesport,NH,60353
Sean Jones,Sean,,Jones,26/03/1983,23,19/11/2050,New Justinland,"843 Katherine Rest Apt. 667, West Heather, NV 81313",Forgery,Apartment 667,,843,Katherine Rest,West Heather,NV,81313
Eric Garza,Eric,,Garza,05/01/1969,44,30/11/1971,Lake Rachel,"14190 Andrea Rue, New Samantha, MA 68001",Smuggling,,,14190,Andrea Rue,New Samantha,MA,68001
Sharon Howell,Sharon,,Howell,02/12/1965,55,17/07/1971,Frazierville,"Unit 6485 Box 1484, DPO AP 59926",Highway Robbery,,Unit 6485 Box 1484,,,DPO AP 59926,,
Lori Garza,Lori,,Garza,29/11/1987,39,25/04/2004,North Jamesburgh,"44777 Marie Stream, Nicolebury, AL 47931",Highway Robbery,,,44777,Marie Stream,Nicolebury,AL,47931
Travis Richardson,Travis,,Richardson,14/06/1995,51,19/06/2046,South Gregory,"Unit 1722 Box 8034, DPO AA 11634",Highway Robbery,,Unit 1722 Box 8034,,,DPO AA 11634,,
Jacob Watson,Jacob,,Watson,24/07/1977,20,22/01/2035,East Curtisstad,"745 Traci Course, Josephstad, AK 08500",Forgery,,,745,Traci Course,Josephstad,AK,08500
Margaret Williams,Margaret,,Williams,26/06/1976,22,25/02/1995,Port George,"7817 Hale Viaduct, Port Walterville, KY 76099",Pickpocketing,,,7817,Hale Viaduct,Port Walterville,KY,76099
Bobby Washington,Bobby,,Washington,21/11/1982,33,29/04/2007,Davischester,"5658 Lewis Trail, Ramirezside, OR 87571",Pickpocketing,,,5658,Lewis Trail,Ramirezside,OR,87571
Dana Henderson,Dana,,Henderson,11/12/1967,18,20/04/1970,Courtneyland,"345 Barbara Bridge, Lake Rebeccashire, NE 27924",Murder,,,345,Barbara Bridge,Lake Rebeccashire,NE,27924
Paul Green,Paul,,Green,02/09/1977,54,06/01/1990,Clineberg,"Unit 4594 Box 1186, DPO AE 20204",Murder,,Unit 4594 Box 1186,,,DPO AE 20204,,
Donald Waters,Donald,,Waters,04/03/1984,28,06/04/1985,West Kathleenfurt,"786 Mercer Ports Suite 010, Lake Andrewfurt, MO 23512",Smuggling,Suite 010,,786,Mercer Ports,Lake Andrewfurt,MO,23512
William Taylor,William,,Taylor,11/02/2004,36,27/04/2039,South Erinshire,"0232 Parker Via, Chapmanmouth, NM 36683",Burglary,,,0232,Parker Via,Chapmanmouth,NM,36683
Alyssa Lawson,Alyssa,,Lawson,05/12/2002,24,04/07/2030,South Carlaside,"271 Hawkins Stream, Adamton, RI 50072",Counterfeiting,,,271,Hawkins Stream,Adamton,RI,50072
Johnny Mckinney,Johnny,,Mckinney,31/01/1976,30,25/07/1982,Parkerport,"67705 Ryan Island Apt. 907, Lake Elizabeth, MI 35815",Theft,Apartment 907,,67705,Ryan Island,Lake Elizabeth,MI,35815
Andrew Mathis,Andrew,,Mathis,04/07/2002,49,27/10/2012,Colehaven,"37057 Paula Spurs Apt. 208, Mortonmouth, TX 88638",Arson,Apartment 208,,37057,Paula Spurs,Mortonmouth,TX,88638
Derek Porter,Derek,,Porter,18/11/1990,42,10/10/2069,South Ellenfurt,"46925 Jennifer Courts Apt. 005, South Georgeton, GA 30772",Assault,Apartment 005,,46925,Jennifer Courts,South Georgeton,GA,30772
Linda Anderson,Linda,,Anderson,29/12/1980,31,17/10/1986,Foxmouth,"79707 Dustin Isle Suite 274, North Jamesfurt, RI 73889",Smuggling,Suite 274,,79707,Dustin Isle,North Jamesfurt,RI,73889
Gregory Villarreal,Gregory,,Villarreal,01/10/1975,49,30/09/1992,Martinezmouth,"3351 Kyle Canyon, North Denisestad, NY 80849",Theft,,,3351,Kyle Canyon,North Denisestad,NY,80849
Mrs. Emily Jacobs,Mrs.,Emily,Jacobs,01/08/2001,18,26/06/2020,Wilsonstad,"7000 Zachary Wall, North Michael, AR 07170",Theft,,,7000,Zachary Wall,North Michael,AR,07170
Adam Young,Adam,,Young,24/01/1987,41,20/01/1991,Wilsonmouth,"Unit 9925 Box 1740, DPO AP 33593",Highway Robbery,,Unit 9925 Box 1740,,,DPO AP 33593,,
James Rios,James,,Rios,18/07/1984,40,20/12/1995,South Kristin,"812 Charlotte Square Apt. 863, East Jonathan, NV 40936",Pickpocketing,Apartment 863,,812,Charlotte Square,East Jonathan,NV,40936
Shannon Smith,Shannon,,Smith,22/08/1969,56,27/01/1971,New Christopher,"Unit 6696 Box 3206, DPO AP 07778",Burglary,,Unit 6696 Box 3206,,,DPO AP 07778,,
Jack Burns,Jack,,Burns,03/07/1967,31,20/07/2031,East Amber,"815 James Throughway, Alexisfurt, IL 46697",Counterfeiting,,,815,James Throughway,Alexisfurt,IL,46697
Jenny Chapman,Jenny,,Chapman,09/08/1999,42,07/02/2028,West Annafurt,"2231 Hill Courts, Lake Stephanie, CO 61642",Murder,,,2231,Hill Courts,Lake Stephanie,CO,61642
Preston Garrison,Preston,,Garrison,07/10/1981,32,02/06/2057,South Jacob,"9528 Huff Lock, East Micheleland, NH 09664",Counterfeiting,,,9528,Huff Lock,East Micheleland,NH,09664
William Long,William,,Long,18/07/1970,49,07/08/2015,Edwardsburgh,"3491 Grant Island, Grayhaven, MI 89302",Highway Robbery,,,3491,Grant Island,Grayhaven,MI,89302
Christina Dean,Christina,,Dean,05/09/1974,34,05/05/1981,East Ashley,"964 Williams Ways, Kristinaberg, CO 10089",Arson,,,964,Williams Ways,Kristinaberg,CO,10089
Sarah Taylor,Sarah,,Taylor,08/06/1965,29,19/06/2037,Hamiltonport,"2921 Solis Track, South Brett, CO 26178",Murder,,,2921,Solis Track,South Brett,CO,26178
Ryan Green,Ryan,,Green,14/06/1966,40,26/01/2087,North Cynthia,"1634 Charles Cape, North Charles, LA 24723",Theft,,,1634,Charles Cape,North Charles,LA,24723
John Vargas,John,,Vargas,25/10/1977,45,30/06/1997,New Deborahmouth,"38383 Ferrell Stream, North Shane, OK 06779",Forgery,,,38383,Ferrell Stream,North Shane,OK,06779
Kevin Bailey,Kevin,,Bailey,13/01/2001,56,02/08/2063,West James,"6704 Hunt Station Apt. 013, North Jessicamouth, GA 87096",Assault,Apartment 013,,6704,Hunt Station,North Jessicamouth,GA,87096
Aaron Smith,Aaron,,Smith,10/08/1981,23,19/07/2063,Tonyfort,"USS Avila, FPO AA 19628",Pickpocketing,,,,USS Avila,FPO AA 19628,,
Jonathan Anderson,Jonathan,,Anderson,14/09/1989,31,01/11/1990,New Theresa,"266 Sheri Brook Apt. 621, Murphyton, LA 24138",Counterfeiting,Apartment 621,,266,Sheri Brook,Murphyton,LA,24138
Susan Flores,Susan,,Flores,25/04/1989,19,21/12/2042,Port Thomasstad,"45878 Mendez Lakes, South Katie, ME 04442",Murder,,,45878,Mendez Lakes,South Katie,ME,04442
Tamara Huber,Tamara,,Huber,08/08/1985,43,28/08/1994,Jessicaton,"748 Holly Knolls, West Margaretshire, WI 46132",Pickpocketing,,,748,Holly Knolls,West Margaretshire,WI,46132
Jacqueline Morris,Jacqueline,,Morris,01/05/1994,19,28/08/2028,Ambermouth,"170 Jamie Fall Suite 356, Mcconnellville, WY 08417",Counterfeiting,Suite 356,,170,Jamie Fall,Mcconnellville,WY,08417
Bryan Gomez,Bryan,,Gomez,20/05/2004,22,18/10/2026,Whitemouth,"7551 Melissa Pass Apt. 169, Lake Frankfurt, MO 11094",Arson,Apartment 169,,7551,Melissa Pass,Lake Frankfurt,MO,11094
Sarah Acosta,Sarah,,Acosta,03/09/1985,24,13/09/1988,North Mary,"4650 Paul Forges, Arthurstad, NV 60983",Smuggling,,,4650,Paul Forges,Arthurstad,NV,60983
Sara Crane,Sara,,Crane,29/07/1989,28,11/04/2044,Erikstad,"967 Rice Ferry Suite 672, Port Mario, AR 57972",Murder,Suite 672,,967,Rice Ferry,Port Mario,AR,57972
Robert Wade DVM,Robert,Wade,DVM,09/12/2000,51,30/10/2021,Pettybury,"358 Douglas Crossing Suite 485, South Ginatown, HI 40164",Arson,Suite 485,,358,Douglas Crossing,South Ginatown,HI,40164
Krystal Cooper,Krystal,,Cooper,25/01/1992,39,20/09/2057,Adamborough,"73382 Emma Underpass, North Jill, DC 09452",Forgery,,,73382,Emma Underpass,North Jill,DC,09452
Patrick Rice,Patrick,,Rice,07/04/1965,30,28/03/2009,Edwardsmouth,"7786 Hamilton River, Owensberg, NJ 31435",Theft,,,7786,Hamilton River,Owensberg,NJ,31435
Curtis Murray,Curtis,,Murray,04/03/1997,32,20/04/2030,Jonesstad,"352 Miranda Throughway Suite 240, New Dennis, NC 01545",Assault,Suite 240,,352,Miranda Throughway,New Dennis,NC,01545
Margaret Molina,Margaret,,Molina,15/04/2003,25,08/04/2036,Robbinsland,"0197 Schwartz Glens, Smithchester, AK 19372",Theft,,,0197,Schwartz Glens,Smithchester,AK,19372
Patrick Williams,Patrick,,Williams,30/04/1991,25,27/12/2001,North Joshualand,"771 Sydney Mountain Apt. 171, Lake Samuel, KS 22022",Counterfeiting,Apartment 171,,771,Sydney Mountain,Lake Samuel,KS,22022
Ryan Bradley,Ryan,,Bradley,26/11/1980,27,19/10/2081,Wardshire,"0808 Connie Crossroad Suite 539, North Mark, WV 65646",Pickpocketing,Suite 539,,0808,Connie Crossroad,North Mark,WV,65646
Cody Jones,Cody,,Jones,30/08/1987,32,12/11/2036,North Robertmouth,"4826 Wendy Estates, Christyshire, NV 74115",Pickpocketing,,,4826,Wendy Estates,Christyshire,NV,74115
Ryan Bird,Ryan,,Bird,14/09/1990,40,20/08/2038,Port Michael,"99136 Zimmerman Cliffs, Robertborough, CA 59310",Counterfeiting,,,99136,Zimmerman Cliffs,Robertborough,CA,59310
Julie Callahan,Julie,,Callahan,08/01/1984,51,04/05/2009,West Rickyshire,"Unit 2583 Box 6382, DPO AA 46409",Theft,,Unit 2583 Box 6382,,,DPO AA 46409,,
Jeffrey Phillips,Jeffrey,,Phillips,21/12/1987,34,23/11/2048,Kimberlyview,"3894 Cunningham Wells Apt. 147, South Timothy, PA 03638",Theft,Apartment 147,,3894,Cunningham Wells,South Timothy,PA,03638
Joel Gomez,Joel,,Gomez,29/12/2003,55,10/12/2009,Andrewchester,"6107 David Lodge, Youngberg, KS 60151",Pickpocketing,,,6107,David Lodge,Youngberg,KS,60151
Nicholas Harris,Nicholas,,Harris,01/06/1975,30,08/11/2075,East Patricia,"28365 Edward Inlet Suite 951, Josephshire, OH 94416",Burglary,Suite 951,,28365,Edward Inlet,Josephshire,OH,94416
Steven Espinoza,Steven,,Espinoza,28/06/1980,37,08/04/2012,Lindseyton,"1072 Tiffany Mountains Suite 739, Port Carmenburgh, CA 31626",Burglary,Suite 739,,1072,Tiffany Mountains,Port Carmenburgh,CA,31626
Mark Boyle,Mark,,Boyle,14/12/1967,26,24/10/1982,Sandratown,"PSC 8389, Box 9318, APO AE 87111",Highway Robbery,,,,PSC 8389,Box 9318,,
Crystal Ayala,Crystal,,Ayala,15/10/2000,57,09/09/2010,Robinborough,"81942 Daniel Lodge, Kristinahaven, MN 85196",Arson,,,81942,Daniel Lodge,Kristinahaven,MN,85196
Jacqueline Thompson,Jacqueline,,Thompson,14/11/1975,36,28/06/1996,Jamiefort,"35449 Christian Shoals, Terriview, HI 00651",Highway Robbery,,,35449,Christian Shoals,Terriview,HI,00651
Tammy Smith,Tammy,,Smith,08/06/1987,22,11/02/2013,Port Dennismouth,"3939 Hernandez Keys, New Jenniferside, VA 85835",Counterfeiting,,,3939,Hernandez Keys,New Jenniferside,VA,85835
Debra Roman,Debra,,Roman,07/10/1979,52,20/03/1998,Obrienville,"75013 David Valleys, Amyburgh, MI 32693",Arson,,,75013,David Valleys,Amyburgh,MI,32693
Becky Obrien,Becky,,Obrien,27/01/1964,21,20/11/1964,Lambertshire,"487 Garcia Roads, New Davidville, MN 97552",Counterfeiting,,,487,Garcia Roads,New Davidville,MN,97552
Katie Allen,Katie,,Allen,20/10/1974,41,06/04/2055,West Kimberg,"11224 Kristina Cove, South Brenda, SD 46802",Assault,,,11224,Kristina Cove,South Brenda,SD,46802
Michael Mata,Michael,,Mata,31/01/1990,56,01/06/2017,North Coreystad,"88905 Miller Plaza, Glenfurt, WA 07816",Smuggling,,,88905,Miller Plaza,Glenfurt,WA,07816
Jesse Williams,Jesse,,Williams,02/06/1968,28,12/08/1987,Lake Henry,"49805 Figueroa Villages, New Alyssa, MN 43929",Counterfeiting,,,49805,Figueroa Villages,New Alyssa,MN,43929
Shelley Alvarado,Shelley,,Alvarado,16/05/2003,18,09/09/2005,Gonzalezland,"03014 Brown Greens, East Elizabethmouth, MA 13021",Smuggling,,,03014,Brown Greens,East Elizabethmouth,MA,13021
Robert Pacheco,Robert,,Pacheco,28/03/1996,51,11/07/2013,Burnsshire,"166 Sarah Inlet Apt. 748, Jasonview, LA 01648",Murder,Apartment 748,,166,Sarah Inlet,Jasonview,LA,01648
Heidi Key,Heidi,,Key,25/05/1984,51,26/05/2011,Lake Marissatown,"37588 Perez Hollow, Lake Christopher, OK 04901",Theft,,,37588,Perez Hollow,Lake Christopher,OK,04901
Stacy Bell,Stacy,,Bell,28/01/1985,44,06/12/1989,Goodmanburgh,"036 James Shores, South Heatherstad, MS 29440",Arson,,,036,James Shores,South Heatherstad,MS,29440
Samantha Green,Samantha,,Green,21/05/1991,31,02/09/2010,Port Christopherville,"1971 Ward Ridge Suite 240, Jonesshire, SC 41439",Murder,Suite 240,,1971,Ward Ridge,Jonesshire,SC,41439
Laura Black,Laura,,Black,10/01/1977,43,26/11/1980,Bryanthaven,"7638 Jesse Glen Suite 577, Diazview, NM 45781",Murder,Suite 577,,7638,Jesse Glen,Diazview,NM,45781
Ariana Schmitt,Ariana,,Schmitt,04/08/1997,20,13/03/1999,Adamsborough,"091 Julie Inlet Suite 261, Ronaldview, MN 48803",Highway Robbery,Suite 261,,091,Julie Inlet,Ronaldview,MN,48803
Ruth Gill,Ruth,,Gill,12/11/1983,53,06/07/2011,West Rickyport,"41788 Barbara Junctions Suite 800, North Manuelton, RI 48744",Burglary,Suite 800,,41788,Barbara Junctions,North Manuelton,RI,48744
Ryan Brown,Ryan,,Brown,21/08/1970,38,27/10/2046,Edwardhaven,"4290 Martinez Street Apt. 691, Thompsonborough, WA 67716",Highway Robbery,Apartment 691,,4290,Martinez Street,Thompsonborough,WA,67716
Virginia Shaw,Virginia,,Shaw,30/06/1971,46,21/11/2019,New Davidland,"32677 Wagner Expressway Suite 354, Lake Joseph, NY 60580",Counterfeiting,Suite 354,,32677,Wagner Expressway,Lake Joseph,NY,60580
Zachary Cole,Zachary,,Cole,12/08/1969,30,04/10/2046,Lake Heatherfort,"53484 Robert Mission Apt. 150, Port Joseph, ID 60135",Burglary,Apartment 150,,53484,Robert Mission,Port Joseph,ID,60135
Dustin Perez,Dustin,,Perez,20/03/1972,18,12/05/2076,West Alicia,"148 Calderon Garden, Tylerhaven, UT 84356",Highway Robbery,,,148,Calderon Garden,Tylerhaven,UT,84356
Brent Jenkins,Brent,,Jenkins,31/03/2001,23,16/09/2015,Taylorside,"586 Adrienne Stream, East Michael, VA 90825",Assault,,,586,Adrienne Stream,East Michael,VA,90825
Courtney Ochoa,Courtney,,Ochoa,16/09/1980,20,23/05/1997,New Elizabeth,"6504 Munoz Harbor, Kristinashire, GA 92115",Pickpocketing,,,6504,Munoz Harbor,Kristinashire,GA,92115
John Valdez,John,,Valdez,11/07/1965,52,10/04/1967,North Angelica,"5064 Nicole Oval, Johnport, MN 35964",Highway Robbery,,,5064,Nicole Oval,Johnport,MN,35964
Shannon Moore,Shannon,,Moore,07/01/1984,21,20/04/1993,South Barbara,"PSC 2689, Box 0785, APO AP 04413",Burglary,,,,PSC 2689,Box 0785,,
Jacob Herman,Jacob,,Herman,27/07/2000,52,21/10/2002,Maryland,"0695 Lee Lodge Suite 536, South Melaniefort, IL 88549",Counterfeiting,Suite 536,,0695,Lee Lodge,South Melaniefort,IL,88549
Melanie Cruz,Melanie,,Cruz,16/03/1980,34,11/01/2000,Erinton,"62907 Poole Roads, Lake Chadburgh, VT 95118",Burglary,,,62907,Poole Roads,Lake Chadburgh,VT,95118
Brittany Wolfe,Brittany,,Wolfe,20/12/1985,51,13/10/1999,Wallacefurt,"8533 Brewer Port, West Crystal, AZ 33611",Assault,,,8533,Brewer Port,West Crystal,AZ,33611
Todd Martinez,Todd,,Martinez,31/01/1969,18,14/12/1998,North Clifford,"43187 Rose Valleys Apt. 589, East Jessica, MO 27297",Theft,Apartment 589,,43187,Rose Valleys,East Jessica,MO,27297
Hannah Bray,Hannah,,Bray,24/07/2001,55,20/07/2035,Charlesland,"95476 Christina Ferry Apt. 263, Deborahtown, OR 38083",Forgery,Apartment 263,,95476,Christina Ferry,Deborahtown,OR,38083
Teresa Wallace,Teresa,,Wallace,03/10/1996,54,13/01/2018,Andrewland,"USNS Coleman, FPO AE 01847",Pickpocketing,,,,USNS Coleman,FPO AE 01847,,
Anthony Mendoza,Anthony,,Mendoza,18/09/1992,19,01/01/2011,Rodriguezberg,"7692 Kelsey Orchard Suite 613, North Christopher, IN 36569",Counterfeiting,Suite 613,,7692,Kelsey Orchard,North Christopher,IN,36569
Michael Hanna,Michael,,Hanna,21/06/1998,49,14/06/2028,North Sean,"90984 Garrett Station, Port Davidville, GA 40659",Theft,,,90984,Garrett Station,Port Davidville,GA,40659
Bianca Davis,Bianca,,Davis,06/07/1985,31,30/12/2005,Port Brittany,"397 Gordon Rue, Leefort, CT 06836",Burglary,,,397,Gordon Rue,Leefort,CT,06836
Justin Stanton,Justin,,Stanton,24/10/1976,19,07/04/2003,Bethanystad,"91220 Julie Isle, Robertborough, RI 74564",Forgery,,,91220,Julie Isle,Robertborough,RI,74564
Deanna Bailey,Deanna,,Bailey,27/12/1979,54,27/06/2047,Joshuafurt,"202 Bennett Canyon Suite 393, South Jenniferburgh, MS 93300",Assault,Suite 393,,202,Bennett Canyon,South Jenniferburgh,MS,93300
Alexandra Weaver,Alexandra,,Weaver,22/01/1998,26,09/05/2015,Thomasburgh,"8999 Kimberly Crossing, Lauramouth, ND 79223",Burglary,,,8999,Kimberly Crossing,Lauramouth,ND,79223
Dillon Burton,Dillon,,Burton,24/04/2000,47,20/05/2019,Rossside,"46209 Cathy Vista Apt. 171, Eatonton, RI 63365",Smuggling,Apartment 171,,46209,Cathy Vista,Eatonton,RI,63365
Heather Maynard,Heather,,Maynard,14/04/1980,27,13/11/2000,Kennethborough,"USNV Waters, FPO AA 31458",Pickpocketing,,,,USNV Waters,FPO AA 31458,,
Christopher Williams,Christopher,,Williams,05/12/2001,19,17/08/2024,Lake Dana,"307 April Freeway Suite 432, Barberton, IN 83586",Smuggling,Suite 432,,307,April Freeway,Barberton,IN,83586
