Full Name,Date of Birth,Age at Offense,Date of Death,Location,Last Known Full Address,Crime
Robert Wade DVM,2000-12-09,51,2021-10-30,Pettybury,"358 Douglas Crossing Suite 485, South Ginatown, HI 40164",Arson
Krystal Cooper,1992-01-25,39,2057-09-20,Adamborough,"73382 Emma Underpass, North Jill, DC 09452",Forgery
Patrick Rice,1965-04-07,30,2009-03-28,Edwardsmouth,"7786 Hamilton River, Owensberg, NJ 31435",Theft
Curtis Murray,1997-03-04,32,2030-04-20,Jonesstad,"352 Miranda Throughway Suite 240, New Dennis, NC 01545",Assault
Margaret Molina,2003-04-15,25,2036-04-08,Robbinsland,"0197 Schwartz Glens, Smithchester, AK 19372",Theft
Patrick Williams,1991-04-30,25,2001-12-27,North Joshualand,"771 Sydney Mountain Apt. 171, Lake Samuel, KS 22022",Counterfeiting
Ryan Bradley,1980-11-26,27,2081-10-19,Wardshire,"0808 Connie Crossroad Suite 539, North Mark, WV 65646",Pickpocketing
Cody Jones,1987-08-30,32,2036-11-12,North Robertmouth,"4826 Wendy Estates, Christyshire, NV 74115",Pickpocketing
Ryan Bird,1990-09-14,40,2038-08-20,Port Michael,"99136 Zimmerman Cliffs, Robertborough, CA 59310",Counterfeiting
Julie Callahan,1984-01-08,51,2009-05-04,West Rickyshire,"Unit 2583 Box 6382, DPO AA 46409",Theft
Jeffrey Phillips,1987-12-21,34,2048-11-23,Kimberlyview,"3894 Cunningham Wells Apt. 147, South Timothy, PA 03638",Theft
Joel Gomez,2003-12-29,55,2009-12-10,Andrewchester,"6107 David Lodge, Youngberg, KS 60151",Pickpocketing
Nicholas Harris,1975-06-01,30,2075-11-08,East Patricia,"28365 Edward Inlet Suite 951, Josephshire, OH 94416",Burglary
Steven Espinoza,1980-06-28,37,2012-04-08,Lindseyton,"1072 Tiffany Mountains Suite 739, Port Carmenburgh, CA 31626",Burglary
Mark Boyle,1967-12-14,26,1982-10-24,Sandratown,"PSC 8389, Box 9318, APO AE 87111",Highway Robbery
Crystal Ayala,2000-10-15,57,2010-09-09,Robinborough,"81942 Daniel Lodge, Kristinahaven, MN 85196",Arson
Jacqueline Thompson,1975-11-14,36,1996-06-28,Jamiefort,"35449 Christian Shoals, Terriview, HI 00651",Highway Robbery
Tammy Smith,1987-06-08,22,2013-02-11,Port Dennismouth,"3939 Hernandez Keys, New Jenniferside, VA 85835",Counterfeiting
Debra Roman,1979-10-07,52,1998-03-20,Obrienville,"75013 David Valleys, Amyburgh, MI 32693",Arson
Becky Obrien,1964-01-27,21,1964-11-20,Lambertshire,"487 Garcia Roads, New Davidville, MN 97552",Counterfeiting
Katie Allen,1974-10-20,41,2055-04-06,West Kimberg,"11224 Kristina Cove, South Brenda, SD 46802",Assault
Michael Mata,1990-01-31,56,2017-06-01,North Coreystad,"88905 Miller Plaza, Glenfurt, WA 07816",Smuggling
Jesse Williams,1968-06-02,28,1987-08-12,Lake Henry,"49805 Figueroa Villages, New Alyssa, MN 43929",Counterfeiting
Shelley Alvarado,2003-05-16,18,2005-09-09,Gonzalezland,"03014 Brown Greens, East Elizabethmouth, MA 13021",Smuggling
Robert Pacheco,1996-03-28,51,2013-07-11,Burnsshire,"166 Sarah Inlet Apt. 748, Jasonview, LA 01648",Murder
Heidi Key,1984-05-25,51,2011-05-26,Lake Marissatown,"37588 Perez Hollow, Lake Christopher, OK 04901",Theft
Stacy Bell,1985-01-28,44,1989-12-06,Goodmanburgh,"036 James Shores, South Heatherstad, MS 29440",Arson
Samantha Green,1991-05-21,31,2010-09-02,Port Christopherville,"1971 Ward Ridge Suite 240, Jonesshire, SC 41439",Murder
Laura Black,1977-01-10,43,1980-11-26,Bryanthaven,"7638 Jesse Glen Suite 577, Diazview, NM 45781",Murder
Ariana Schmitt,1997-08-04,20,1999-03-13,Adamsborough,"091 Julie Inlet Suite 261, Ronaldview, MN 48803",Highway Robbery
Ruth Gill,1983-11-12,53,2011-07-06,West Rickyport,"41788 Barbara Junctions Suite 800, North Manuelton, RI 48744",Burglary
Ryan Brown,1970-08-21,38,2046-10-27,Edwardhaven,"4290 Martinez Street Apt. 691, Thompsonborough, WA 67716",Highway Robbery
Virginia Shaw,1971-06-30,46,2019-11-21,New Davidland,"32677 Wagner Expressway Suite 354, Lake Joseph, NY 60580",Counterfeiting
Zachary Cole,1969-08-12,30,2046-10-04,Lake Heatherfort,"53484 Robert Mission Apt. 150, Port Joseph, ID 60135",Burglary
Dustin Perez,1972-03-20,18,2076-05-12,West Alicia,"148 Calderon Garden, Tylerhaven, UT 84356",Highway Robbery
Brent Jenkins,2001-03-31,23,2015-09-16,Taylorside,"586 Adrienne Stream, East Michael, VA 90825",Assault
Courtney Ochoa,1980-09-16,20,1997-05-23,New Elizabeth,"6504 Munoz Harbor, Kristinashire, GA 92115",Pickpocketing
John Valdez,1965-07-11,52,1967-04-10,North Angelica,"5064 Nicole Oval, Johnport, MN 35964",Highway Robbery
Shannon Moore,1984-01-07,21,1993-04-20,South Barbara,"PSC 2689, Box 0785, APO AP 04413",Burglary
Jacob Herman,2000-07-27,52,2002-10-21,Maryland,"0695 Lee Lodge Suite 536, South Melaniefort, IL 88549",Counterfeiting
Melanie Cruz,1980-03-16,34,2000-01-11,Erinton,"62907 Poole Roads, Lake Chadburgh, VT 95118",Burglary
Brittany Wolfe,1985-12-20,51,1999-10-13,Wallacefurt,"8533 Brewer Port, West Crystal, AZ 33611",Assault
Todd Martinez,1969-01-31,18,1998-12-14,North Clifford,"43187 Rose Valleys Apt. 589, East Jessica, MO 27297",Theft
Hannah Bray,2001-07-24,55,2035-07-20,Charlesland,"95476 Christina Ferry Apt. 263, Deborahtown, OR 38083",Forgery
Teresa Wallace,1996-10-03,54,2018-01-13,Andrewland,"USNS Coleman, FPO AE 01847",Pickpocketing
Anthony Mendoza,1992-09-18,19,2011-01-01,Rodriguezberg,"7692 Kelsey Orchard Suite 613, North Christopher, IN 36569",Counterfeiting
Michael Hanna,1998-06-21,49,2028-06-14,North Sean,"90984 Garrett Station, Port Davidville, GA 40659",Theft
Bianca Davis,1985-07-06,31,2005-12-30,Port Brittany,"397 Gordon Rue, Leefort, CT 06836",Burglary
Justin Stanton,1976-10-24,19,2003-04-07,Bethanystad,"91220 Julie Isle, Robertborough, RI 74564",Forgery
Deanna Bailey,1979-12-27,54,2047-06-27,Joshuafurt,"202 Bennett Canyon Suite 393, South Jenniferburgh, MS 93300",Assault
Alexandra Weaver,1998-01-22,26,2015-05-09,Thomasburgh,"8999 Kimberly Crossing, Lauramouth, ND 79223",Burglary
Dillon Burton,2000-04-24,47,2019-05-20,Rossside,"46209 Cathy Vista Apt. 171, Eatonton, RI 63365",Smuggling
Heather Maynard,1980-04-14,27,2000-11-13,Kennethborough,"USNV Waters, FPO AA 31458",Pickpocketing
Christopher Williams,2001-12-05,19,2024-08-17,Lake Dana,"307 April Freeway Suite 432, Barberton, IN 83586",Smuggling
Daniel Vincent,1972-11-13,56,2032-08-11,Johnathanfurt,"2761 Shaffer Path Suite 470, Jessicastad, CA 44199",Theft
Mr. Anthony Bailey Jr.,1978-05-24,49,1984-08-18,Heatherberg,"8958 Melanie Roads Apt. 138, West Vickihaven, OR 37643",Murder
Lisa Juarez,1995-03-25,27,2040-11-05,Griffinhaven,"4058 Green Stravenue, Tinamouth, IL 19390",Theft
Erik Gonzalez,1998-06-20,18,2022-04-01,Bryantchester,"695 Ford Common Apt. 460, Reedview, VT 38522",Highway Robbery
Betty Williamson,2002-04-25,18,2020-04-27,West Josephbury,"50523 Collins Ways Suite 925, New Nathan, SD 80864",Murder
Amanda Thomas,1979-09-09,18,1985-11-18,South Matthewfurt,"982 Reynolds Manor Apt. 344, Christianchester, WA 74443",Assault
Edward Chase,1973-04-16,38,2002-09-25,North Amanda,"60504 Rebecca Spring Apt. 865, Lake Brandonton, FL 57022",Assault
Allison Walker,1988-12-09,39,2016-11-15,Dominiqueland,"17413 Wolf Knolls Suite 703, Davidberg, UT 19194",Murder
Melinda Flynn,1964-06-13,47,1987-08-15,Port Daniellechester,"026 Christopher Ridge Suite 278, Lake Ryan, VA 73495",Highway Robbery
Adam Hodge,1996-02-26,18,2028-11-01,Charlesshire,"PSC 9561, Box 9783, APO AA 74659",Assault
Angela Quinn,1995-06-06,38,2013-03-01,West Jill,"259 Peters Wall, Davidshire, TN 91796",Burglary
Emily Miller,1969-02-12,47,1979-02-23,North Derekfurt,"52248 Christian Springs Apt. 324, Lake Jennifer, MT 80242",Forgery
Joseph Wilson,1984-08-30,47,1988-10-02,Williamport,"7707 Kenneth Walk Apt. 149, Campbellshire, VA 78900",Forgery
Jody York,1966-02-03,57,1966-08-03,Port Michelle,"908 Donald Centers Suite 812, Wolfport, NV 69493",Theft
David Maynard,1970-03-31,42,1995-11-07,Bettyborough,"9761 Joan Shores Apt. 266, New Shelbyside, TX 75573",Theft
Justin Allen,2001-06-30,30,2025-08-12,Seanberg,"04491 Scott Spur, West Brian, AL 04434",Counterfeiting
Donna Casey,1986-11-02,23,1991-07-22,Lucasburgh,"7333 Zachary Ports, South Julie, KS 28095",Smuggling
Terry Crane,1971-09-15,23,1999-03-06,New Brandon,"398 Brian Street, West Richardside, CO 59577",Murder
Michelle Williams,2004-11-05,36,2035-03-27,Johnmouth,"3603 Edward Island, New Meganhaven, MO 75910",Murder
Rachel Stewart,1998-02-11,53,2018-06-13,New Emma,"USS Mckinney, FPO AE 78987",Theft
Charles Benson,2003-06-08,58,2009-01-19,Ronaldborough,"388 Hall Wall, New Pamelaport, SC 76376",Pickpocketing
Michael Crane,1984-05-08,32,1989-11-29,Port Leslie,"5104 Sanford Trail, North Richard, CT 19269",Forgery
Michelle Hardin,1975-01-25,28,2054-12-24,Jamesmouth,"705 Mcguire Center, Lake Georgeborough, SD 72851",Assault
Stephen Reed,1983-04-25,23,2044-08-28,West Stephanie,"61740 Martin Circles, Port Heathermouth, ID 06319",Murder
Jennifer Kent,1966-03-08,60,2040-08-12,Castroview,"6343 Torres Cliffs Suite 183, Chanview, IA 32340",Highway Robbery
Jennifer Poole,1997-01-07,47,2025-11-08,New Paul,"84270 Shawn Point Apt. 027, Jenningsborough, AL 27683",Assault
Samantha Dennis,2002-07-06,26,2007-06-02,Jamietown,"083 Tyler Fields, New Williamberg, MA 11594",Burglary
Kevin Johnson,1987-03-16,21,1994-09-13,New Jeremy,"747 Rogers Hollow, Lake Aaron, CO 45188",Murder
Joseph Campbell,1975-09-24,49,2003-05-07,Josephburgh,"98137 House Road, Chambersborough, NV 40591",Highway Robbery
Emma Cummings,1980-09-30,45,2010-03-26,Kingfort,"6395 Smith Crest, North Williamfort, IA 76540",Pickpocketing
Keith Mata,2001-04-12,48,2003-12-04,Thomasburgh,"066 Alec Valleys, Lake Paulshire, IA 03168",Murder
Dennis Walker,1998-09-22,35,1999-12-08,Taylorland,"2316 Long Mountain, Charlesmouth, LA 70230",Assault
Bonnie James,1988-08-07,37,2003-06-01,West Kimberly,"6569 Harper Springs Suite 600, Sarahfurt, MD 04975",Pickpocketing
Nicholas Newman,1989-05-19,33,2009-12-16,Allenborough,"539 Cynthia Crescent Apt. 329, South Jared, KS 97738",Assault
Carlos Fleming,1965-07-26,30,2003-09-12,Ortegatown,"53156 Cowan Parkways, North Spencerfurt, MD 67389",Smuggling
